idx;Id;Url;TipusOferta;TipusImmoble;Municipi;Provincia;Zona;PreuActual;DataOferta;Sup_m2;NumHabitacions;NumBanys;AnyConstruccio;Planta;Parking;Calefaccio;AC;Moblat;EficienciaEnergetica;ClasseEmissions;Jardi;Ascensor
0;i4737003748874;https://www.habitaclia.com/alquiler-apartamento-amueblado_putget_farro-barcelona-i4737003748874.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Putget - Farró;1350;08-04-2020;45;1;;;3;False;True;True;False;E;D;False;True
1;i12677002772608;https://www.habitaclia.com/alquiler-piso-ref_12668ob_dreta_de_l_eixample-barcelona-i12677002772608.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;2300;08-04-2020;179;3;2;1910;4;False;True;True;True;E;E;False;True
2;i2953003748180;https://www.habitaclia.com/alquiler-piso-dreta_de_leixample_dreta_de_l_eixample-barcelona-i2953003748180.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;2300;08-04-2020;175;4;2;;2;False;True;True;True;G;G;False;True
3;i4190003644357;https://www.habitaclia.com/alquiler-piso-barceloneta_barceloneta-barcelona-i4190003644357.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Barceloneta;1300;08-04-2020;83;2;2;2018;;False;True;False;True;G;G;False;True
4;i8166003732068;https://www.habitaclia.com/alquiler-piso-lujoso_amueblado_temporal_o_vivienda_sant_gervasi_bonanova-barcelona-i8166003732068.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Bonanova;3850;08-04-2020;200;3;3;1967;;True;True;True;False;D;D;False;True
5;i8166003732664;https://www.habitaclia.com/alquiler-piso-exclusivo_de_lujo_en_sant_gervasi_tres_torres-barcelona-i8166003732664.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Tres Torres;7000;08-04-2020;350;5;3;1979;;True;True;True;True;C;C;False;True
6;i8166003731991;https://www.habitaclia.com/alquiler-duplex-exclusivo_de_diseno_en_casa_bures_dreta_de_l_eixample-barcelona-i8166003731991.htm?f=&geo=c&from=list&lo=55;Lloguer;duplex;barcelona;barcelona;Dreta de l´Eixample;15000;08-04-2020;260;4;4;1900;;False;True;True;False;E;E;False;True
7;i4737003771309;https://www.habitaclia.com/alquiler-apartamento-sin_amueblar_sant_gervasi_galvany-barcelona-i4737003771309.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1787;08-04-2020;129;3;2;;4;False;True;True;True;D;D;False;True
8;i8166003733696;https://www.habitaclia.com/alquiler-piso-amuebaldo_y_muy_luminoso_en_el_farro_putget_farro-barcelona-i8166003733696.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Putget - Farró;1550;08-04-2020;122;4;2;1936;;False;True;True;False;G;G;False;False
9;i672001759202;https://www.habitaclia.com/alquiler-piso-via_augusta_349_355_via_augusta_349_355_sarria-barcelona-i672001759202.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sarrià;2416;08-04-2020;75;2;;;;False;False;False;False;;;False;False
10;i4552003757508;https://www.habitaclia.com/alquiler-piso-con_2_pk_en_buen_estado_tres_torres-barcelona-i4552003757508.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Tres Torres;2950;08-04-2020;230;4;3;;1;True;True;True;True;G;G;False;False
11;i8166003731971;https://www.habitaclia.com/alquiler-piso-moderno_en_paseo_de_gracia_dreta_de_l_eixample-barcelona-i8166003731971.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;2300;08-04-2020;100;2;2;1959;;False;True;True;True;C;C;False;True
12;i4737003671598;https://www.habitaclia.com/alquiler-apartamento-sin_amueblar_sant_gervasi_galvany-barcelona-i4737003671598.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1682;08-04-2020;72;1;;2008;1;False;True;True;True;E;D;False;True
