idx;Id;Url;TipusOferta;TipusImmoble;Municipi;Provincia;Zona;PreuActual;DataOferta;Sup_m2;NumHabitacions;NumBanys;AnyConstruccio;Planta;Parking;Calefaccio;AC;Moblat;EficienciaEnergetica;ClasseEmissions;Jardi;Ascensor
19;i672001759202;https://www.habitaclia.com/alquiler-piso-via_augusta_349_355_via_augusta_349_355_sarria-barcelona-i672001759202.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sarrià;2416;26-04-2020;75;2;;;;False;False;False;False;;;False;False
20;i8166003733696;https://www.habitaclia.com/alquiler-piso-amuebaldo_y_muy_luminoso_en_el_farro_putget_farro-barcelona-i8166003733696.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Putget - Farró;1550;26-04-2020;122;4;2;1936;;False;True;True;False;G;G;False;False
21;i8166003732543;https://www.habitaclia.com/alquiler-piso-exclusivo_a_reformar_en_putxet_putget_farro-barcelona-i8166003732543.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Putget - Farró;1200;26-04-2020;134;4;;1948;;False;False;True;True;E;E;False;True
22;i4737003748874;https://www.habitaclia.com/alquiler-apartamento-amueblado_putget_farro-barcelona-i4737003748874.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Putget - Farró;1350;26-04-2020;45;1;;;3;False;True;True;False;E;D;False;True
23;i4737003731018;https://www.habitaclia.com/alquiler-apartamento-reformado_y_sin_amueblar_sant_gervasi_bonanova-barcelona-i4737003731018.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Bonanova;1200;26-04-2020;62;2;2;;;False;True;False;True;E;E;False;True
24;i20330003691966;https://www.habitaclia.com/alquiler-apartamento-obra_nueva_con_piscina_propia_sarria-barcelona-i20330003691966.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sarrià;2748;26-04-2020;89;2;2;2019;;False;True;True;True;A;B;False;True
25;i8166003732358;https://www.habitaclia.com/alquiler-piso-maravilloso_en_gotic_gotic-barcelona-i8166003732358.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;1850;26-04-2020;86;2;2;2019;;False;True;True;False;A;A;False;True
26;i8166003733104;https://www.habitaclia.com/alquiler-piso-impresionante_vivenda_con_terraza_en_gotico_gotic-barcelona-i8166003733104.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;4500;26-04-2020;249;4;4;1900;;False;True;True;False;E;E;False;True
27;i5158003740848;https://www.habitaclia.com/alquiler-apartamento-alto_alegre_sol_y_a_estrenar_tres_torres-barcelona-i5158003740848.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Tres Torres;3000;26-04-2020;163;4;3;1977;5;True;True;True;True;G;G;False;True
28;i1042003740156;https://www.habitaclia.com/alquiler-piso-oportunidad_en_sants_montjuic_badal-barcelona-i1042003740156.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Badal;1100;26-04-2020;70;2;;1966;1;False;True;False;False;G;G;False;True
